store_id,region,product_id,category,total_revenue,revenue_percentage,cumulative_percentage,revenue_rank,abc_classification,management_strategy,total_units_sold,avg_selling_price,avg_inventory_level
S001,East,P0046,Clothing,315156.37,4.53,4.53,1,A,TIGHT_CONTROL,5986,52.17,150
S001,East,P0125,Clothing,278351.15,4.00,8.53,2,A,TIGHT_CONTROL,5201,54.11,154
S001,East,P0133,Clothing,277589.03,3.99,12.52,3,A,TIGHT_CONTROL,4802,53.47,156
S001,East,P0067,Furniture,277080.87,3.98,16.50,4,A,TIGHT_CONTROL,5276,51.97,146
S001,East,P0083,Toys,261086.79,3.75,20.25,5,A,TIGHT_CONTROL,5205,50.53,142
S001,East,P0166,Groceries,258736.93,3.72,23.97,6,A,TIGHT_CONTROL,4773,53.65,146
S001,East,P0126,Clothing,256066.13,3.68,27.65,7,A,TIGHT_CONTROL,4933,51.15,159
S001,East,P0068,Electronics,251902.68,3.62,31.27,8,A,TIGHT_CONTROL,4636,53.62,139
S001,East,P0116,Furniture,248421.37,3.57,34.84,9,A,TIGHT_CONTROL,4465,55.76,154
S001,East,P0129,Furniture,247983.92,3.56,38.40,10,A,TIGHT_CONTROL,5111,49.17,137
S001,East,P0017,Toys,243699.94,3.50,41.90,11,A,TIGHT_CONTROL,4771,49.72,140
S001,East,P0066,Clothing,242304.46,3.48,45.38,12,A,TIGHT_CONTROL,4623,51.35,159
S001,East,P0178,Clothing,239258.30,3.44,48.82,13,A,TIGHT_CONTROL,4398,55.29,158
S001,East,P0057,Clothing,238374.05,3.42,52.24,14,A,TIGHT_CONTROL,4783,52.70,168
S001,East,P0096,Toys,234476.69,3.37,55.61,15,A,TIGHT_CONTROL,4670,50.06,137
S001,East,P0171,Electronics,234345.10,3.37,58.98,16,A,TIGHT_CONTROL,4629,48.45,137
S001,East,P0153,Furniture,232276.67,3.34,62.32,17,A,TIGHT_CONTROL,4819,48.21,146
S001,East,P0016,Clothing,228837.64,3.29,65.61,18,A,TIGHT_CONTROL,5122,46.37,162
S001,East,P0061,Clothing,228251.06,3.28,68.89,19,A,TIGHT_CONTROL,4274,50.67,163
S001,East,P0187,Clothing,218752.19,3.14,72.03,20,A,TIGHT_CONTROL,4754,46.19,167
S001,East,P0031,Electronics,218472.61,3.14,75.17,21,A,TIGHT_CONTROL,3903,54.98,139
S001,East,P0175,Electronics,212889.92,3.06,78.23,22,A,TIGHT_CONTROL,4147,51.21,139
S001,East,P0079,Furniture,205221.68,2.95,81.18,23,B,MODERATE_CONTROL,4622,44.01,145
S001,East,P0183,Electronics,205076.41,2.95,84.13,24,B,MODERATE_CONTROL,3868,51.75,146
S001,East,P0085,Electronics,198991.98,2.86,86.99,25,B,MODERATE_CONTROL,4085,49.98,138
S001,East,P0069,Clothing,190038.90,2.73,89.72,26,B,MODERATE_CONTROL,3389,54.36,154
S001,East,P0094,Groceries,188980.25,2.72,92.44,27,B,MODERATE_CONTROL,3557,54.20,150
S001,East,P0070,Electronics,182063.07,2.62,95.06,28,C,BASIC_CONTROL,4257,44.92,140
S001,East,P0149,Furniture,177508.81,2.55,97.61,29,C,BASIC_CONTROL,3691,47.91,137
S001,East,P0159,Electronics,167806.98,2.41,100.02,30,C,BASIC_CONTROL,3381,50.20,143
S001,North,P0133,Clothing,305035.64,4.41,4.41,1,A,TIGHT_CONTROL,5574,55.91,146
S001,North,P0061,Clothing,300036.65,4.34,8.75,2,A,TIGHT_CONTROL,5885,51.47,166
S001,North,P0149,Furniture,281964.02,4.08,12.83,3,A,TIGHT_CONTROL,5183,52.45,153
S001,North,P0066,Clothing,278497.44,4.03,16.86,4,A,TIGHT_CONTROL,5236,50.80,147
S001,North,P0126,Clothing,268766.50,3.89,20.75,5,A,TIGHT_CONTROL,5117,53.92,161
S001,North,P0068,Electronics,267952.70,3.88,24.63,6,A,TIGHT_CONTROL,5080,51.10,140
S001,North,P0069,Clothing,263381.24,3.81,28.44,7,A,TIGHT_CONTROL,5554,50.04,154
S001,North,P0079,Furniture,248130.41,3.59,32.03,8,A,TIGHT_CONTROL,4370,56.96,139
S001,North,P0153,Furniture,241127.24,3.49,35.52,9,A,TIGHT_CONTROL,4714,51.57,142
S001,North,P0171,Electronics,238895.06,3.46,38.98,10,A,TIGHT_CONTROL,4253,57.48,139
S001,North,P0129,Furniture,238093.53,3.44,42.42,11,A,TIGHT_CONTROL,5041,46.44,150
S001,North,P0187,Clothing,235109.12,3.40,45.82,12,A,TIGHT_CONTROL,4472,53.58,159
S001,North,P0085,Electronics,234279.66,3.39,49.21,13,A,TIGHT_CONTROL,4317,53.76,137
S001,North,P0116,Furniture,233669.69,3.38,52.59,14,A,TIGHT_CONTROL,4691,50.47,149
S001,North,P0057,Clothing,232832.15,3.37,55.96,15,A,TIGHT_CONTROL,4774,48.41,160
S001,North,P0016,Clothing,229308.89,3.32,59.28,16,A,TIGHT_CONTROL,4241,52.08,145
S001,North,P0159,Electronics,228889.34,3.31,62.59,17,A,TIGHT_CONTROL,4418,49.99,138
S001,North,P0183,Electronics,226048.26,3.27,65.86,18,A,TIGHT_CONTROL,4297,52.75,142
S001,North,P0031,Electronics,224629.10,3.25,69.11,19,A,TIGHT_CONTROL,4236,52.65,144
S001,North,P0125,Clothing,217358.26,3.14,72.25,20,A,TIGHT_CONTROL,4922,46.56,155
S001,North,P0046,Clothing,215458.45,3.12,75.37,21,A,TIGHT_CONTROL,4109,50.84,151
S001,North,P0178,Clothing,209009.07,3.02,78.39,22,A,TIGHT_CONTROL,3940,53.96,158
S001,North,P0070,Electronics,204750.14,2.96,81.35,23,B,MODERATE_CONTROL,3905,52.91,125
S001,North,P0096,Toys,200758.04,2.90,84.25,24,B,MODERATE_CONTROL,4308,47.49,145
S001,North,P0166,Groceries,198827.81,2.88,87.13,25,B,MODERATE_CONTROL,4189,47.54,150
S001,North,P0083,Toys,191130.21,2.76,89.89,26,B,MODERATE_CONTROL,4033,48.10,144
S001,North,P0175,Electronics,182541.64,2.64,92.53,27,B,MODERATE_CONTROL,3147,58.24,139
S001,North,P0067,Furniture,177400.19,2.57,95.10,28,C,BASIC_CONTROL,3159,55.31,141
S001,North,P0094,Groceries,172467.78,2.49,97.59,29,C,BASIC_CONTROL,3917,46.00,151
S001,North,P0017,Toys,167377.76,2.42,100.01,30,C,BASIC_CONTROL,3758,45.44,141
S001,South,P0094,Groceries,327040.95,5.04,5.04,1,A,TIGHT_CONTROL,6235,50.13,144
S001,South,P0125,Clothing,280649.88,4.33,9.37,2,A,TIGHT_CONTROL,5133,55.03,150
S001,South,P0166,Groceries,278425.08,4.29,13.66,3,A,TIGHT_CONTROL,5144,55.59,151
S001,South,P0175,Electronics,258069.06,3.98,17.64,4,A,TIGHT_CONTROL,5147,47.94,136
S001,South,P0126,Clothing,247987.65,3.82,21.46,5,A,TIGHT_CONTROL,4550,53.24,156
S001,South,P0057,Clothing,247175.00,3.81,25.27,6,A,TIGHT_CONTROL,4670,51.54,162
S001,South,P0178,Clothing,244939.67,3.78,29.05,7,A,TIGHT_CONTROL,4802,50.18,148
S001,South,P0066,Clothing,239188.71,3.69,32.74,8,A,TIGHT_CONTROL,4058,57.68,163
S001,South,P0083,Toys,233732.10,3.60,36.34,9,A,TIGHT_CONTROL,4347,53.76,149
S001,South,P0079,Furniture,230930.77,3.56,39.90,10,A,TIGHT_CONTROL,4437,52.94,150
S001,South,P0069,Clothing,230641.25,3.55,43.45,11,A,TIGHT_CONTROL,4560,50.18,161
S001,South,P0061,Clothing,230499.02,3.55,47.00,12,A,TIGHT_CONTROL,5328,44.37,157
S001,South,P0116,Furniture,229102.94,3.53,50.53,13,A,TIGHT_CONTROL,4413,49.69,147
S001,South,P0133,Clothing,222575.27,3.43,53.96,14,A,TIGHT_CONTROL,4669,47.03,154
S001,South,P0046,Clothing,220163.06,3.39,57.35,15,A,TIGHT_CONTROL,4545,49.94,149
S001,South,P0016,Clothing,211197.04,3.26,60.61,16,A,TIGHT_CONTROL,4128,51.36,153
S001,South,P0159,Electronics,206625.48,3.18,63.79,17,A,TIGHT_CONTROL,4119,50.86,134
S001,South,P0187,Clothing,203392.52,3.13,66.92,18,A,TIGHT_CONTROL,3996,52.42,146
S001,South,P0129,Furniture,199950.72,3.08,70.00,19,A,TIGHT_CONTROL,3688,53.78,133
S001,South,P0070,Electronics,199090.59,3.07,73.07,20,A,TIGHT_CONTROL,3509,56.31,129
S001,South,P0017,Toys,196494.14,3.03,76.10,21,A,TIGHT_CONTROL,3803,50.78,139
S001,South,P0031,Electronics,194161.21,2.99,79.09,22,A,TIGHT_CONTROL,3592,54.14,134
S001,South,P0183,Electronics,192280.83,2.96,82.05,23,B,MODERATE_CONTROL,3559,53.23,141
S001,South,P0149,Furniture,186063.28,2.87,84.92,24,B,MODERATE_CONTROL,3698,51.65,133
S001,South,P0171,Electronics,181488.31,2.80,87.72,25,B,MODERATE_CONTROL,3402,51.55,137
S001,South,P0067,Furniture,172324.16,2.66,90.38,26,B,MODERATE_CONTROL,3310,53.26,144
S001,South,P0153,Furniture,170422.87,2.63,93.01,27,B,MODERATE_CONTROL,3729,45.81,154
S001,South,P0085,Electronics,168916.82,2.60,95.61,28,C,BASIC_CONTROL,3474,47.02,136
S001,South,P0096,Toys,158533.65,2.44,98.05,29,C,BASIC_CONTROL,3419,48.73,141
S001,South,P0068,Electronics,125744.30,1.94,99.99,30,C,BASIC_CONTROL,2641,49.00,120
S001,West,P0178,Clothing,324694.94,4.80,4.80,1,A,TIGHT_CONTROL,5726,54.78,154
S001,West,P0187,Clothing,316455.41,4.68,9.48,2,A,TIGHT_CONTROL,6385,50.83,168
S001,West,P0066,Clothing,292013.56,4.31,13.79,3,A,TIGHT_CONTROL,6149,49.16,165
S001,West,P0096,Toys,291239.83,4.30,18.09,4,A,TIGHT_CONTROL,5117,56.78,142
S001,West,P0057,Clothing,286403.03,4.23,22.32,5,A,TIGHT_CONTROL,5247,53.15,161
S001,West,P0069,Clothing,283171.13,4.18,26.50,6,A,TIGHT_CONTROL,5245,54.84,159
S001,West,P0067,Furniture,278674.84,4.12,30.62,7,A,TIGHT_CONTROL,5380,51.99,144
S001,West,P0183,Electronics,272972.24,4.03,34.65,8,A,TIGHT_CONTROL,4801,54.11,149
S001,West,P0016,Clothing,246921.78,3.65,38.30,9,A,TIGHT_CONTROL,4973,47.57,155
S001,West,P0133,Clothing,231483.63,3.42,41.72,10,A,TIGHT_CONTROL,4686,50.58,158
S001,West,P0149,Furniture,221733.25,3.28,45.00,11,A,TIGHT_CONTROL,4343,49.57,149
S001,West,P0031,Electronics,217195.81,3.21,48.21,12,A,TIGHT_CONTROL,4727,46.07,152
S001,West,P0046,Clothing,214668.43,3.17,51.38,13,A,TIGHT_CONTROL,4201,49.47,167
S001,West,P0126,Clothing,213347.60,3.15,54.53,14,A,TIGHT_CONTROL,4684,46.29,154
S001,West,P0153,Furniture,213262.29,3.15,57.68,15,A,TIGHT_CONTROL,4605,45.40,151
S001,West,P0085,Electronics,211556.40,3.13,60.81,16,A,TIGHT_CONTROL,3944,53.96,140
S001,West,P0061,Clothing,206895.45,3.06,63.87,17,A,TIGHT_CONTROL,4275,49.65,146
S001,West,P0017,Toys,205642.71,3.04,66.91,18,A,TIGHT_CONTROL,4670,45.53,145
S001,West,P0125,Clothing,201324.56,2.97,69.88,19,A,TIGHT_CONTROL,4244,49.54,159
S001,West,P0159,Electronics,197243.85,2.91,72.79,20,A,TIGHT_CONTROL,4142,47.94,133
S001,West,P0070,Electronics,193605.57,2.86,75.65,21,A,TIGHT_CONTROL,3765,53.42,149
S001,West,P0116,Furniture,193458.34,2.86,78.51,22,A,TIGHT_CONTROL,3650,54.14,137
S001,West,P0083,Toys,191738.87,2.83,81.34,23,B,MODERATE_CONTROL,3490,54.88,136
S001,West,P0094,Groceries,190618.23,2.82,84.16,24,B,MODERATE_CONTROL,4305,42.17,161
S001,West,P0166,Groceries,188852.16,2.79,86.95,25,B,MODERATE_CONTROL,3619,50.11,149
S001,West,P0171,Electronics,186068.16,2.75,89.70,26,B,MODERATE_CONTROL,3716,48.93,130
S001,West,P0175,Electronics,177618.41,2.62,92.32,27,B,MODERATE_CONTROL,3767,46.55,132
S001,West,P0079,Furniture,175345.48,2.59,94.91,28,B,MODERATE_CONTROL,3662,48.24,140
S001,West,P0068,Electronics,172555.34,2.55,97.46,29,C,BASIC_CONTROL,3372,50.02,125
S001,West,P0129,Furniture,171040.40,2.53,99.99,30,C,BASIC_CONTROL,3271,54.85,151
S002,East,P0066,Clothing,394242.04,5.86,5.86,1,A,TIGHT_CONTROL,6996,55.29,167
S002,East,P0133,Clothing,305048.66,4.54,10.40,2,A,TIGHT_CONTROL,5434,54.28,155
S002,East,P0016,Clothing,282677.55,4.20,14.60,3,A,TIGHT_CONTROL,5340,50.59,163
S002,East,P0061,Clothing,276294.39,4.11,18.71,4,A,TIGHT_CONTROL,5484,48.70,150
S002,East,P0017,Toys,269889.41,4.01,22.72,5,A,TIGHT_CONTROL,4643,58.30,142
S002,East,P0096,Toys,255730.64,3.80,26.52,6,A,TIGHT_CONTROL,4283,58.14,142
S002,East,P0187,Clothing,249820.31,3.72,30.24,7,A,TIGHT_CONTROL,4738,52.07,153
S002,East,P0094,Groceries,245881.00,3.66,33.90,8,A,TIGHT_CONTROL,5131,47.96,139
S002,East,P0125,Clothing,241003.10,3.58,37.48,9,A,TIGHT_CONTROL,4576,52.38,146
S002,East,P0149,Furniture,240809.54,3.58,41.06,10,A,TIGHT_CONTROL,4740,49.54,149
S002,East,P0159,Electronics,234089.96,3.48,44.54,11,A,TIGHT_CONTROL,4696,51.36,136
S002,East,P0166,Groceries,227643.79,3.39,47.93,12,A,TIGHT_CONTROL,4275,54.35,153
S002,East,P0070,Electronics,224194.72,3.33,51.26,13,A,TIGHT_CONTROL,4684,47.14,135
S002,East,P0067,Furniture,216904.69,3.23,54.49,14,A,TIGHT_CONTROL,4728,45.15,146
S002,East,P0046,Clothing,216266.71,3.22,57.71,15,A,TIGHT_CONTROL,4788,44.80,158
S002,East,P0178,Clothing,213522.62,3.18,60.89,16,A,TIGHT_CONTROL,4471,47.97,145
S002,East,P0183,Electronics,212308.32,3.16,64.05,17,A,TIGHT_CONTROL,4566,48.51,144
S002,East,P0129,Furniture,210087.99,3.12,67.17,18,A,TIGHT_CONTROL,4250,50.48,139
S002,East,P0057,Clothing,209050.23,3.11,70.28,19,A,TIGHT_CONTROL,3808,55.39,145
S002,East,P0126,Clothing,203872.72,3.03,73.31,20,A,TIGHT_CONTROL,3701,55.81,134
S002,East,P0068,Electronics,200580.70,2.98,76.29,21,A,TIGHT_CONTROL,4015,50.84,139
S002,East,P0171,Electronics,197950.29,2.94,79.23,22,A,TIGHT_CONTROL,3459,57.67,141
S002,East,P0116,Furniture,195820.71,2.91,82.14,23,B,MODERATE_CONTROL,3583,56.63,146
S002,East,P0175,Electronics,193601.32,2.88,85.02,24,B,MODERATE_CONTROL,3715,54.05,137
S002,East,P0069,Clothing,188216.94,2.80,87.82,25,B,MODERATE_CONTROL,3770,51.36,151
S002,East,P0083,Toys,174931.94,2.60,90.42,26,B,MODERATE_CONTROL,3742,47.64,138
S002,East,P0153,Furniture,171294.70,2.55,92.97,27,B,MODERATE_CONTROL,3430,49.45,143
S002,East,P0085,Electronics,170349.44,2.53,95.50,28,C,BASIC_CONTROL,3519,49.52,127
S002,East,P0079,Furniture,162497.85,2.42,97.92,29,C,BASIC_CONTROL,3859,45.71,144
S002,East,P0031,Electronics,138723.21,2.06,99.98,30,C,BASIC_CONTROL,3619,38.66,141
S002,North,P0125,Clothing,303444.10,4.45,4.45,1,A,TIGHT_CONTROL,5882,50.65,154
S002,North,P0133,Clothing,302119.11,4.43,8.88,2,A,TIGHT_CONTROL,5529,55.08,156
S002,North,P0187,Clothing,274537.59,4.02,12.90,3,A,TIGHT_CONTROL,5183,54.60,152
S002,North,P0057,Clothing,265817.69,3.90,16.80,4,A,TIGHT_CONTROL,5014,52.98,149
S002,North,P0085,Electronics,265295.29,3.89,20.69,5,A,TIGHT_CONTROL,5322,50.54,144
S002,North,P0178,Clothing,257720.36,3.78,24.47,6,A,TIGHT_CONTROL,4968,51.81,157
S002,North,P0061,Clothing,255104.37,3.74,28.21,7,A,TIGHT_CONTROL,4907,53.51,160
S002,North,P0079,Furniture,254856.59,3.74,31.95,8,A,TIGHT_CONTROL,4772,53.98,137
S002,North,P0067,Furniture,250975.91,3.68,35.63,9,A,TIGHT_CONTROL,4978,51.43,146
S002,North,P0069,Clothing,248449.25,3.64,39.27,10,A,TIGHT_CONTROL,4829,52.70,141
S002,North,P0149,Furniture,246074.87,3.61,42.88,11,A,TIGHT_CONTROL,4892,48.45,136
S002,North,P0046,Clothing,242766.11,3.56,46.44,12,A,TIGHT_CONTROL,4467,54.23,155
S002,North,P0166,Groceries,241962.27,3.55,49.99,13,A,TIGHT_CONTROL,4454,52.94,145
S002,North,P0153,Furniture,238772.19,3.50,53.49,14,A,TIGHT_CONTROL,4339,56.65,138
S002,North,P0183,Electronics,234284.52,3.43,56.92,15,A,TIGHT_CONTROL,4947,47.97,145
S002,North,P0070,Electronics,223890.63,3.28,60.20,16,A,TIGHT_CONTROL,4810,45.49,142
S002,North,P0017,Toys,222776.00,3.26,63.46,17,A,TIGHT_CONTROL,4195,54.03,146
S002,North,P0171,Electronics,218519.16,3.20,66.66,18,A,TIGHT_CONTROL,4411,49.24,140
S002,North,P0126,Clothing,205916.77,3.02,69.68,19,A,TIGHT_CONTROL,4056,51.90,153
S002,North,P0096,Toys,202931.10,2.97,72.65,20,A,TIGHT_CONTROL,3801,54.00,144
S002,North,P0016,Clothing,202864.87,2.97,75.62,21,A,TIGHT_CONTROL,4583,43.79,149
S002,North,P0116,Furniture,197917.11,2.90,78.52,22,A,TIGHT_CONTROL,3960,50.30,143
S002,North,P0159,Electronics,196680.78,2.88,81.40,23,B,MODERATE_CONTROL,3997,48.67,139
S002,North,P0175,Electronics,194514.39,2.85,84.25,24,B,MODERATE_CONTROL,3804,51.94,139
S002,North,P0066,Clothing,184977.76,2.71,86.96,25,B,MODERATE_CONTROL,3426,52.39,146
S002,North,P0083,Toys,183732.65,2.69,89.65,26,B,MODERATE_CONTROL,3840,49.32,140
S002,North,P0031,Electronics,182760.84,2.68,92.33,27,B,MODERATE_CONTROL,3504,54.13,135
S002,North,P0129,Furniture,178515.25,2.62,94.95,28,B,MODERATE_CONTROL,3373,51.96,140
S002,North,P0068,Electronics,176667.49,2.59,97.54,29,C,BASIC_CONTROL,3704,48.39,146
S002,North,P0094,Groceries,168472.55,2.47,100.01,30,C,BASIC_CONTROL,3215,51.30,152
S002,South,P0057,Clothing,306659.77,4.50,4.50,1,A,TIGHT_CONTROL,6030,50.82,166
S002,South,P0031,Electronics,300294.01,4.41,8.91,2,A,TIGHT_CONTROL,5635,53.68,143
S002,South,P0125,Clothing,274666.72,4.03,12.94,3,A,TIGHT_CONTROL,4644,58.68,147
S002,South,P0178,Clothing,270602.52,3.97,16.91,4,A,TIGHT_CONTROL,4798,56.63,159
S002,South,P0126,Clothing,265955.76,3.90,20.81,5,A,TIGHT_CONTROL,5204,52.88,157
S002,South,P0066,Clothing,264107.55,3.88,24.69,6,A,TIGHT_CONTROL,5024,51.83,163
S002,South,P0187,Clothing,257917.03,3.78,28.47,7,A,TIGHT_CONTROL,5268,49.59,158
S002,South,P0096,Toys,252848.70,3.71,32.18,8,A,TIGHT_CONTROL,4552,51.87,147
S002,South,P0079,Furniture,249893.68,3.67,35.85,9,A,TIGHT_CONTROL,4551,54.84,146
S002,South,P0046,Clothing,249284.40,3.66,39.51,10,A,TIGHT_CONTROL,4969,50.83,149
S002,South,P0016,Clothing,241832.03,3.55,43.06,11,A,TIGHT_CONTROL,4959,48.49,155
S002,South,P0069,Clothing,241114.56,3.54,46.60,12,A,TIGHT_CONTROL,4786,50.43,150
S002,South,P0171,Electronics,237058.83,3.48,50.08,13,A,TIGHT_CONTROL,4772,52.13,142
S002,South,P0116,Furniture,236267.78,3.47,53.55,14,A,TIGHT_CONTROL,4700,50.39,139
S002,South,P0017,Toys,227060.43,3.33,56.88,15,A,TIGHT_CONTROL,4642,49.10,152
S002,South,P0094,Groceries,221462.95,3.25,60.13,16,A,TIGHT_CONTROL,4681,48.07,156
S002,South,P0166,Groceries,216489.27,3.18,63.31,17,A,TIGHT_CONTROL,4273,52.12,149
S002,South,P0067,Furniture,213625.72,3.13,66.44,18,A,TIGHT_CONTROL,3914,54.99,137
