store_id,region,product_id,category,avg_inventory_level,avg_daily_sales,cogs_90_days,avg_inventory_value,inventory_turnover_ratio,days_of_supply,avg_unit_price,movement_type,performance_rating
S003,North,P0066,Clothing,149,113.09,189943.99,7423.37,104.49,1,53.89,FAST_MOVER,EXCELLENT
S002,East,P0066,Clothing,175,121.33,240846.25,9445.22,101.50,1,54.67,FAST_MOVER,EXCELLENT
S004,North,P0069,Clothing,173,125.12,248596.25,10207.03,99.56,1,62.23,FAST_MOVER,EXCELLENT
S004,West,P0016,Clothing,184,136.45,228279.89,10211.79,93.25,1,59.36,FAST_MOVER,EXCELLENT
S004,West,P0178,Clothing,162,115.00,179084.57,7940.88,92.11,1,53.00,FAST_MOVER,EXCELLENT
S005,East,P0061,Clothing,174,128.20,194305.21,8882.59,89.44,1,54.93,FAST_MOVER,EXCELLENT
S002,North,P0125,Clothing,175,128.03,216305.14,9791.74,88.78,1,59.49,FAST_MOVER,EXCELLENT
S002,North,P0069,Clothing,149,107.57,168878.38,7944.00,88.09,1,57.65,FAST_MOVER,EXCELLENT
S001,West,P0178,Clothing,174,121.74,229876.73,10403.40,88.03,1,63.56,FAST_MOVER,EXCELLENT
S002,South,P0126,Clothing,158,110.16,174242.99,8296.48,87.55,1,56.04,FAST_MOVER,EXCELLENT
S005,South,P0133,Clothing,170,126.14,182718.06,8283.95,87.21,1,52.23,FAST_MOVER,EXCELLENT
S003,West,P0016,Clothing,163,116.80,163871.49,7386.26,87.20,1,50.27,FAST_MOVER,EXCELLENT
S002,North,P0133,Clothing,178,131.24,200235.23,9302.22,86.88,1,57.68,FAST_MOVER,EXCELLENT
S005,South,P0046,Clothing,169,120.63,189360.99,8965.08,86.62,1,58.42,FAST_MOVER,EXCELLENT
S004,West,P0125,Clothing,185,131.70,176945.91,8370.16,86.50,1,48.94,FAST_MOVER,EXCELLENT
S001,West,P0187,Clothing,185,131.33,194886.14,9314.09,86.29,1,54.66,FAST_MOVER,EXCELLENT
S002,South,P0057,Clothing,183,134.75,187360.55,9430.63,83.60,1,54.32,FAST_MOVER,EXCELLENT
S005,East,P0178,Clothing,180,131.07,196185.61,9595.53,82.79,1,58.83,FAST_MOVER,EXCELLENT
S003,East,P0187,Clothing,156,117.63,143424.19,7024.32,82.55,1,51.44,FAST_MOVER,EXCELLENT
S005,East,P0057,Clothing,169,113.57,137227.12,6934.85,81.94,1,44.95,FAST_MOVER,EXCELLENT
S001,North,P0061,Clothing,176,130.59,169951.88,8337.27,81.10,1,52.22,FAST_MOVER,EXCELLENT
S003,North,P0126,Clothing,169,119.61,174368.49,8743.37,80.37,1,54.35,FAST_MOVER,EXCELLENT
S002,South,P0046,Clothing,154,112.22,142365.38,7174.72,80.04,1,51.97,FAST_MOVER,EXCELLENT
S003,North,P0046,Clothing,175,131.50,173917.85,8644.98,79.22,1,54.66,FAST_MOVER,EXCELLENT
S004,West,P0133,Clothing,148,102.79,136869.78,6969.30,78.90,1,53.10,FAST_MOVER,EXCELLENT
S004,South,P0016,Clothing,160,115.07,165223.88,8448.17,78.83,1,58.27,FAST_MOVER,EXCELLENT
S001,North,P0066,Clothing,158,113.48,157548.37,8204.63,78.72,1,57.36,FAST_MOVER,EXCELLENT
S005,South,P0066,Clothing,177,126.93,176785.55,9127.49,78.36,1,52.75,FAST_MOVER,EXCELLENT
S005,South,P0126,Clothing,183,126.07,185773.61,9735.45,78.32,1,57.26,FAST_MOVER,EXCELLENT
S005,South,P0125,Clothing,141,104.42,141418.85,7322.80,78.11,1,54.14,FAST_MOVER,EXCELLENT
S001,West,P0066,Clothing,173,127.35,155190.72,8099.32,77.72,1,51.06,FAST_MOVER,EXCELLENT
S003,West,P0069,Clothing,159,117.31,143874.48,7583.78,77.70,1,51.02,FAST_MOVER,EXCELLENT
S004,North,P0057,Clothing,167,127.96,177040.89,9157.13,77.50,1,59.09,FAST_MOVER,EXCELLENT
S003,East,P0126,Clothing,165,116.70,152061.58,7854.84,77.38,1,50.98,FAST_MOVER,EXCELLENT
S003,South,P0133,Clothing,169,108.00,155687.40,8451.09,75.21,2,55.40,FAST_MOVER,EXCELLENT
S002,North,P0187,Clothing,155,115.12,152972.91,8238.45,75.13,1,56.50,FAST_MOVER,EXCELLENT
S002,South,P0125,Clothing,149,109.84,162179.58,8871.28,74.98,1,62.15,FAST_MOVER,EXCELLENT
S001,South,P0061,Clothing,175,124.38,142784.99,7830.22,74.98,1,50.19,FAST_MOVER,EXCELLENT
S004,West,P0066,Clothing,169,115.44,152600.94,8364.63,74.93,1,54.08,FAST_MOVER,EXCELLENT
S004,East,P0126,Clothing,157,116.36,154005.80,8519.35,74.91,1,56.16,FAST_MOVER,EXCELLENT
S001,West,P0069,Clothing,166,109.29,169711.61,9283.36,74.87,2,59.90,FAST_MOVER,EXCELLENT
S005,South,P0061,Clothing,168,114.85,176553.51,9511.77,74.78,1,60.71,FAST_MOVER,EXCELLENT
S004,South,P0057,Clothing,153,112.52,123643.06,6650.84,74.70,1,44.91,FAST_MOVER,EXCELLENT
S005,West,P0187,Clothing,171,130.79,167120.96,9051.10,74.63,1,57.56,FAST_MOVER,EXCELLENT
S005,North,P0069,Clothing,183,124.11,176391.52,9661.46,74.38,1,54.18,FAST_MOVER,EXCELLENT
S002,South,P0066,Clothing,178,125.77,186711.71,10267.01,74.33,1,62.37,FAST_MOVER,EXCELLENT
S004,North,P0178,Clothing,198,144.88,197006.63,10618.63,74.25,1,55.16,FAST_MOVER,EXCELLENT
S004,South,P0046,Clothing,168,118.15,171985.20,9162.42,74.24,1,60.76,FAST_MOVER,EXCELLENT
S003,South,P0046,Clothing,172,116.52,157031.99,8625.48,74.24,1,54.31,FAST_MOVER,EXCELLENT
S001,East,P0057,Clothing,178,125.04,178512.84,9901.12,74.18,1,61.89,FAST_MOVER,EXCELLENT
S001,West,P0126,Clothing,166,112.00,127908.86,7101.29,74.06,1,47.95,FAST_MOVER,EXCELLENT
S004,West,P0046,Clothing,175,118.33,160767.41,8708.30,74.00,1,54.66,FAST_MOVER,EXCELLENT
S003,West,P0061,Clothing,185,124.96,163616.75,9182.95,73.92,1,56.41,FAST_MOVER,EXCELLENT
S001,South,P0125,Clothing,168,122.32,160187.28,8974.06,73.80,1,56.34,FAST_MOVER,EXCELLENT
S003,West,P0057,Clothing,167,112.44,148512.37,8072.69,73.61,1,52.55,FAST_MOVER,EXCELLENT
S003,East,P0125,Clothing,203,135.67,176765.40,9732.39,73.27,1,50.22,MEDIUM_MOVER,GOOD
S002,North,P0016,Clothing,160,115.32,123110.47,6891.62,73.04,1,47.59,MEDIUM_MOVER,GOOD
S002,East,P0133,Clothing,158,123.52,172162.34,9985.72,72.76,1,66.01,MEDIUM_MOVER,GOOD
S001,North,P0046,Clothing,146,108.38,130646.99,7261.11,72.48,1,48.14,MEDIUM_MOVER,GOOD
S005,South,P0187,Clothing,177,120.96,142080.53,7871.33,72.01,1,48.14,MEDIUM_MOVER,GOOD
S003,North,P0061,Clothing,156,110.68,131821.81,7421.70,71.93,1,51.07,MEDIUM_MOVER,GOOD
S003,West,P0133,Clothing,162,114.56,143043.90,8380.12,71.88,1,53.24,MEDIUM_MOVER,GOOD
S002,East,P0061,Clothing,170,125.00,159152.32,8700.93,71.73,1,55.92,MEDIUM_MOVER,GOOD
S004,West,P0126,Clothing,150,109.79,123637.62,7140.96,71.38,1,50.58,MEDIUM_MOVER,GOOD
S002,East,P0178,Clothing,155,109.28,135674.62,7756.91,71.30,1,54.13,MEDIUM_MOVER,GOOD
S003,East,P0016,Clothing,185,130.32,160440.24,8839.44,71.27,1,51.43,MEDIUM_MOVER,GOOD
S001,East,P0133,Clothing,170,129.35,177719.51,10141.52,71.06,1,61.49,MEDIUM_MOVER,GOOD
S001,East,P0125,Clothing,178,124.92,163913.18,9287.55,70.99,1,56.43,MEDIUM_MOVER,GOOD
S001,South,P0046,Clothing,145,101.84,114755.06,6659.56,70.99,1,50.54,MEDIUM_MOVER,GOOD
S002,East,P0187,Clothing,159,120.74,169175.73,9733.00,70.89,1,65.18,MEDIUM_MOVER,GOOD
S004,North,P0061,Clothing,166,111.54,149044.60,8526.61,70.83,1,57.26,MEDIUM_MOVER,GOOD
S003,North,P0178,Clothing,175,126.67,140078.62,8287.41,70.35,1,52.20,MEDIUM_MOVER,GOOD
S001,North,P0133,Clothing,150,104.16,138251.50,8268.18,70.18,1,58.42,MEDIUM_MOVER,GOOD
S004,South,P0126,Clothing,154,106.40,120765.08,7216.90,69.83,1,52.91,MEDIUM_MOVER,GOOD
S002,West,P0057,Clothing,170,122.04,163637.25,9557.93,69.82,1,58.30,MEDIUM_MOVER,GOOD
S002,West,P0069,Clothing,168,115.16,145546.21,8446.62,69.53,1,51.39,MEDIUM_MOVER,GOOD
S004,South,P0133,Clothing,185,127.04,174240.59,10310.43,69.49,1,59.02,MEDIUM_MOVER,GOOD
S003,North,P0069,Clothing,163,116.04,161310.69,9151.31,69.49,1,60.25,MEDIUM_MOVER,GOOD
S002,East,P0016,Clothing,168,119.75,170022.76,9780.41,69.41,1,59.10,MEDIUM_MOVER,GOOD
S004,East,P0187,Clothing,164,127.23,155043.93,8878.95,69.18,1,59.39,MEDIUM_MOVER,GOOD
S005,South,P0178,Clothing,168,119.33,179750.49,10740.98,69.00,1,68.37,MEDIUM_MOVER,GOOD
S001,East,P0187,Clothing,174,123.04,124527.22,7254.10,68.98,1,46.70,MEDIUM_MOVER,GOOD
S005,East,P0133,Clothing,175,118.76,152447.33,8691.30,68.93,1,54.60,MEDIUM_MOVER,GOOD
S001,West,P0133,Clothing,158,116.43,125846.68,7802.50,68.91,1,53.61,MEDIUM_MOVER,GOOD
S005,West,P0016,Clothing,157,115.91,141368.44,8077.48,68.81,1,55.50,MEDIUM_MOVER,GOOD
S004,East,P0133,Clothing,167,118.17,145461.70,8710.72,68.79,1,54.74,MEDIUM_MOVER,GOOD
S001,East,P0066,Clothing,159,117.22,152086.43,9095.18,68.67,1,59.64,MEDIUM_MOVER,GOOD
S001,North,P0126,Clothing,177,124.38,159558.88,9634.26,68.59,1,58.95,MEDIUM_MOVER,GOOD
S003,South,P0057,Clothing,171,124.39,120884.59,7145.76,67.84,1,45.56,MEDIUM_MOVER,GOOD
S002,South,P0178,Clothing,171,119.04,160478.00,9836.06,67.82,1,61.60,MEDIUM_MOVER,GOOD
S002,North,P0061,Clothing,180,130.61,153848.80,9365.68,67.55,1,57.92,MEDIUM_MOVER,GOOD
S001,South,P0178,Clothing,150,113.27,122928.06,7594.48,67.54,1,52.58,MEDIUM_MOVER,GOOD
S001,East,P0061,Clothing,176,121.75,157044.80,9674.92,67.19,1,57.44,MEDIUM_MOVER,GOOD
S001,East,P0126,Clothing,174,124.87,145064.18,8351.85,67.02,1,51.41,MEDIUM_MOVER,GOOD
S003,South,P0178,Clothing,182,125.08,117344.28,7276.19,66.89,1,44.20,MEDIUM_MOVER,GOOD
S002,West,P0016,Clothing,199,136.79,159362.87,9889.09,66.81,1,56.53,MEDIUM_MOVER,GOOD
S004,East,P0066,Clothing,183,124.92,167688.59,10085.64,66.61,1,57.78,MEDIUM_MOVER,GOOD
S004,South,P0187,Clothing,182,130.04,141661.58,8406.68,66.57,1,51.28,MEDIUM_MOVER,GOOD
S004,West,P0187,Clothing,158,117.82,119310.85,7261.13,66.34,1,51.14,MEDIUM_MOVER,GOOD
S002,North,P0046,Clothing,155,115.32,144660.38,9003.35,66.24,1,63.99,MEDIUM_MOVER,GOOD
S002,South,P0061,Clothing,179,127.00,125235.58,7841.70,66.24,1,51.36,MEDIUM_MOVER,GOOD
S005,North,P0061,Clothing,181,134.50,129583.67,8083.44,66.23,1,48.95,MEDIUM_MOVER,GOOD
S003,North,P0057,Clothing,177,125.48,134639.53,8066.20,66.22,1,48.29,MEDIUM_MOVER,GOOD
S001,North,P0069,Clothing,181,118.28,138981.43,8694.92,66.11,2,53.29,MEDIUM_MOVER,GOOD
S001,West,P0057,Clothing,184,130.61,161036.60,9857.54,66.10,1,57.75,MEDIUM_MOVER,GOOD
S001,East,P0016,Clothing,176,129.86,137016.62,8617.85,65.66,1,55.61,MEDIUM_MOVER,GOOD
S005,West,P0069,Clothing,166,111.79,116510.36,7350.60,65.52,1,47.36,MEDIUM_MOVER,GOOD
S005,South,P0069,Clothing,172,125.82,131652.00,8224.40,65.28,1,48.18,MEDIUM_MOVER,GOOD
S002,West,P0046,Clothing,163,109.33,141242.84,8675.85,65.27,1,54.85,MEDIUM_MOVER,GOOD
S002,South,P0133,Clothing,164,120.09,128039.44,8070.14,65.26,1,55.81,MEDIUM_MOVER,GOOD
S002,North,P0178,Clothing,179,124.87,156060.87,10103.41,65.07,1,60.66,SLOW_MOVER,AVERAGE
S003,North,P0125,Clothing,166,121.00,145660.02,9039.73,64.98,1,58.93,SLOW_MOVER,AVERAGE
S001,South,P0016,Clothing,172,125.45,136111.41,8688.33,64.91,1,52.73,SLOW_MOVER,AVERAGE
S002,West,P0061,Clothing,170,129.33,132002.84,7995.79,64.87,1,54.76,SLOW_MOVER,AVERAGE
S005,South,P0016,Clothing,185,118.48,134069.33,8125.09,64.86,2,47.25,SLOW_MOVER,AVERAGE
S003,East,P0061,Clothing,174,131.90,140805.43,8904.49,64.40,1,56.64,SLOW_MOVER,AVERAGE
S004,South,P0061,Clothing,170,116.87,129024.42,8142.91,64.27,1,51.83,SLOW_MOVER,AVERAGE
S003,West,P0178,Clothing,169,127.19,143377.75,9049.57,64.17,1,59.16,SLOW_MOVER,AVERAGE
S003,South,P0066,Clothing,148,106.36,94043.08,5935.29,64.12,1,42.48,SLOW_MOVER,AVERAGE
S001,West,P0016,Clothing,170,116.39,144540.49,9075.64,63.99,1,56.88,SLOW_MOVER,AVERAGE
S005,North,P0016,Clothing,174,119.09,145280.84,9531.08,63.97,1,60.23,SLOW_MOVER,AVERAGE
S005,North,P0057,Clothing,157,118.00,139645.77,8885.21,63.95,1,63.49,SLOW_MOVER,AVERAGE
S002,South,P0187,Clothing,166,124.33,105241.38,6789.37,63.84,1,47.68,SLOW_MOVER,AVERAGE
S001,North,P0057,Clothing,174,118.43,135305.25,8684.93,63.62,1,54.98,SLOW_MOVER,AVERAGE
S005,East,P0046,Clothing,153,108.86,127608.42,8133.76,63.48,1,56.91,SLOW_MOVER,AVERAGE
S005,East,P0126,Clothing,164,111.35,149457.52,9769.79,63.42,1,63.97,SLOW_MOVER,AVERAGE
S005,North,P0178,Clothing,161,114.00,121604.54,7908.73,63.32,1,52.65,SLOW_MOVER,AVERAGE
S005,East,P0187,Clothing,166,112.43,150723.65,9472.48,63.29,1,57.04,SLOW_MOVER,AVERAGE
S001,East,P0046,Clothing,172,121.77,147225.36,9378.57,63.20,1,56.19,SLOW_MOVER,AVERAGE
S004,East,P0125,Clothing,149,105.32,125198.53,7824.87,63.01,1,57.80,SLOW_MOVER,AVERAGE
S004,North,P0187,Clothing,178,114.96,124529.90,7919.41,62.99,2,49.00,SLOW_MOVER,AVERAGE
S003,West,P0187,Clothing,167,117.77,153838.40,10024.15,62.87,1,64.00,SLOW_MOVER,AVERAGE
S003,East,P0178,Clothing,162,114.27,141050.05,8881.37,62.78,1,64.48,SLOW_MOVER,AVERAGE
S002,North,P0126,Clothing,156,109.68,120510.56,7857.94,62.77,1,55.83,SLOW_MOVER,AVERAGE
S005,North,P0133,Clothing,160,118.24,136823.61,8344.43,62.75,1,58.45,SLOW_MOVER,AVERAGE
S004,East,P0057,Clothing,168,123.90,120155.55,7933.64,62.65,1,50.49,SLOW_MOVER,AVERAGE
S001,North,P0016,Clothing,150,96.38,125780.78,7929.06,62.59,2,57.28,SLOW_MOVER,AVERAGE
S005,West,P0046,Clothing,163,131.84,127528.03,8386.81,62.39,1,56.65,SLOW_MOVER,AVERAGE
S002,West,P0187,Clothing,171,118.64,153345.66,9743.60,61.82,1,63.70,SLOW_MOVER,AVERAGE
S003,North,P0133,Clothing,169,135.84,122382.35,8100.93,61.82,1,52.38,SLOW_MOVER,AVERAGE
S005,East,P0125,Clothing,187,129.82,167050.43,10402.40,61.79,1,60.41,SLOW_MOVER,AVERAGE
S005,West,P0125,Clothing,153,106.14,122906.90,7891.71,61.71,1,60.27,SLOW_MOVER,AVERAGE
S001,North,P0125,Clothing,162,112.27,104590.06,7234.64,61.66,1,52.36,SLOW_MOVER,AVERAGE
S005,East,P0066,Clothing,183,131.33,139816.64,8894.12,61.06,1,52.85,SLOW_MOVER,AVERAGE
S004,West,P0061,Clothing,175,119.00,132779.08,8789.73,60.78,1,51.98,SLOW_MOVER,AVERAGE
S005,West,P0066,Clothing,180,122.45,124033.51,8392.92,60.68,1,51.98,SLOW_MOVER,AVERAGE
S003,North,P0187,Clothing,167,118.67,134825.56,8790.47,60.59,1,61.43,SLOW_MOVER,AVERAGE
S003,South,P0061,Clothing,141,116.06,109348.79,7415.56,60.30,1,56.86,SLOW_MOVER,AVERAGE
S003,East,P0069,Clothing,150,100.14,108388.09,7535.25,59.74,1,55.88,SLOW_MOVER,AVERAGE
S005,North,P0126,Clothing,160,112.29,133365.39,9023.63,59.63,1,62.53,SLOW_MOVER,AVERAGE
S001,South,P0069,Clothing,174,121.76,115730.02,8020.00,59.63,1,46.98,SLOW_MOVER,AVERAGE
S002,East,P0126,Clothing,130,99.79,105590.51,7181.61,59.12,1,58.57,SLOW_MOVER,AVERAGE
S005,East,P0016,Clothing,206,149.60,172217.49,11888.84,59.03,1,59.27,SLOW_MOVER,AVERAGE
S005,North,P0125,Clothing,169,116.81,136756.65,9667.70,58.93,1,62.21,SLOW_MOVER,AVERAGE
S002,South,P0069,Clothing,169,116.76,122666.63,8163.70,58.92,1,53.32,SLOW_MOVER,AVERAGE
S004,East,P0069,Clothing,162,117.25,119630.34,8280.94,58.81,1,56.28,SLOW_MOVER,AVERAGE
S003,West,P0125,Clothing,195,134.24,149833.26,10269.73,58.64,1,56.28,SLOW_MOVER,AVERAGE
S003,South,P0187,Clothing,182,125.14,171811.02,11808.77,58.59,1,64.80,SLOW_MOVER,AVERAGE
S003,South,P0125,Clothing,155,106.62,112706.18,7724.46,58.58,1,54.42,SLOW_MOVER,AVERAGE
S003,South,P0126,Clothing,183,125.19,118770.37,7966.79,58.40,1,47.91,SLOW_MOVER,AVERAGE
S005,West,P0126,Clothing,159,119.79,108702.97,7859.84,58.23,1,56.99,SLOW_MOVER,AVERAGE
S004,North,P0066,Clothing,185,126.43,155437.02,10687.36,58.23,1,61.37,SLOW_MOVER,AVERAGE
S004,East,P0046,Clothing,155,111.10,120845.50,8209.28,58.16,1,57.09,SLOW_MOVER,AVERAGE
S002,East,P0057,Clothing,156,106.57,113356.08,7975.49,58.04,1,56.70,SLOW_MOVER,AVERAGE
S002,West,P0178,Clothing,196,147.16,114263.70,8032.47,57.84,1,45.30,SLOW_MOVER,AVERAGE
S005,North,P0046,Clothing,139,98.80,107166.83,7363.24,57.59,1,60.64,NON_MOVER,NEEDS_IMPROVEMENT
S004,South,P0066,Clothing,176,131.16,110703.26,7720.34,57.35,1,49.80,NON_MOVER,NEEDS_IMPROVEMENT
S001,West,P0046,Clothing,186,130.05,141147.67,9974.83,56.64,1,56.62,NON_MOVER,NEEDS_IMPROVEMENT
S005,West,P0057,Clothing,192,127.14,127189.81,8665.21,56.51,2,48.33,NON_MOVER,NEEDS_IMPROVEMENT
S001,South,P0133,Clothing,181,125.70,115882.82,8155.25,56.45,1,51.67,NON_MOVER,NEEDS_IMPROVEMENT
S005,North,P0066,Clothing,151,99.90,88707.01,6358.49,56.28,2,45.60,NON_MOVER,NEEDS_IMPROVEMENT
S003,West,P0046,Clothing,179,124.10,93564.80,6725.47,56.20,1,38.73,NON_MOVER,NEEDS_IMPROVEMENT
S003,South,P0069,Clothing,174,126.42,128263.44,9278.99,56.04,1,57.78,NON_MOVER,NEEDS_IMPROVEMENT
S001,South,P0057,Clothing,180,130.47,134496.31,9884.70,55.98,1,58.02,NON_MOVER,NEEDS_IMPROVEMENT
S001,West,P0125,Clothing,164,118.89,113557.29,8257.03,55.97,1,56.71,NON_MOVER,NEEDS_IMPROVEMENT
S004,West,P0069,Clothing,163,124.39,89883.43,6764.20,55.71,1,47.76,NON_MOVER,NEEDS_IMPROVEMENT
S004,North,P0125,Clothing,178,122.05,143369.32,10341.70,55.49,1,61.58,NON_MOVER,NEEDS_IMPROVEMENT
S003,South,P0016,Clothing,164,105.43,113300.08,8224.13,54.89,2,56.49,NON_MOVER,NEEDS_IMPROVEMENT
S003,East,P0057,Clothing,174,130.83,136017.36,9895.97,54.75,1,61.99,NON_MOVER,NEEDS_IMPROVEMENT
S004,East,P0061,Clothing,172,115.00,118132.50,8500.75,54.36,1,57.43,NON_MOVER,NEEDS_IMPROVEMENT
S002,West,P0126,Clothing,147,103.47,93666.34,7360.15,54.28,1,53.89,NON_MOVER,NEEDS_IMPROVEMENT
S004,West,P0057,Clothing,155,103.65,91036.26,6720.12,54.27,1,46.11,NON_MOVER,NEEDS_IMPROVEMENT
S002,West,P0125,Clothing,178,119.25,98582.24,7105.46,54.26,1,46.64,NON_MOVER,NEEDS_IMPROVEMENT
S004,East,P0178,Clothing,146,97.75,99566.70,7274.73,54.25,1,53.97,NON_MOVER,NEEDS_IMPROVEMENT
S003,West,P0066,Clothing,182,119.90,109617.21,8343.63,53.39,2,48.98,NON_MOVER,NEEDS_IMPROVEMENT
S005,South,P0057,Clothing,163,112.84,111954.50,8291.75,53.38,1,56.71,NON_MOVER,NEEDS_IMPROVEMENT
S004,North,P0046,Clothing,149,108.00,89840.14,6713.85,52.99,1,49.85,NON_MOVER,NEEDS_IMPROVEMENT
S003,East,P0133,Clothing,155,112.28,117773.58,9024.66,52.92,1,60.19,NON_MOVER,NEEDS_IMPROVEMENT
S002,North,P0057,Clothing,164,118.94,114186.22,8998.99,52.80,1,61.53,NON_MOVER,NEEDS_IMPROVEMENT
S004,South,P0125,Clothing,176,120.74,122651.47,9392.75,52.72,1,56.00,NON_MOVER,NEEDS_IMPROVEMENT
S001,East,P0178,Clothing,168,114.63,111411.91,8915.50,52.68,1,57.45,NON_MOVER,NEEDS_IMPROVEMENT
S001,North,P0178,Clothing,168,114.74,112997.81,8722.26,52.56,1,56.96,NON_MOVER,NEEDS_IMPROVEMENT
S002,West,P0133,Clothing,181,137.88,133897.71,10497.11,52.52,1,64.41,NON_MOVER,NEEDS_IMPROVEMENT
S004,North,P0016,Clothing,160,107.47,123585.01,9986.63,51.74,1,62.49,NON_MOVER,NEEDS_IMPROVEMENT
S002,South,P0016,Clothing,168,119.28,116446.52,8982.48,51.73,1,57.21,NON_MOVER,NEEDS_IMPROVEMENT
S005,North,P0187,Clothing,189,133.78,114381.30,8851.16,51.61,1,49.02,NON_MOVER,NEEDS_IMPROVEMENT
S001,North,P0187,Clothing,189,126.63,120830.73,9207.13,51.57,1,53.21,NON_MOVER,NEEDS_IMPROVEMENT
S003,East,P0046,Clothing,180,126.22,105042.80,8676.29,51.19,1,51.87,NON_MOVER,NEEDS_IMPROVEMENT
S005,West,P0133,Clothing,143,111.38,86867.36,6911.98,50.52,1,51.86,NON_MOVER,NEEDS_IMPROVEMENT
